id,name,county_key,county,court,department,tenure_start,tenure_end,current_status,caseload_2024,time_period_coverage,prison_rate,raw
multnomah_001,Judge Kathleen Dailey,multnomah_county,Multnomah,Circuit Court,Criminal,2016,,active,1347,2016-2024,42.1,"{""id"": ""multnomah_001"", ""name"": ""Judge Kathleen Dailey"", ""county"": ""Multnomah"", ""court"": ""Circuit Court"", ""department"": ""Criminal"", ""tenure_start"": ""2016"", ""tenure_end"": null, ""current_status"": ""active"", ""caseload_2024"": 1347, ""time_period_coverage"": ""2016-2024"", ""representation_analysis"": {""total_cases_analyzed"": 1347, ""by_representation_type"": {""self_represented"": {""count"": 421, ""percentage"": 31.3, ""avg_sentence_months"": 47.2, ""conviction_rate"": 94.1, ""prison_rate"": 52.7}, ""court_appointed"": {""count"": 734, ""percentage"": 54.5, ""avg_sentence_months"": 41.2, ""conviction_rate"": 89.8, ""prison_rate"": 48.3}, ""retained_counsel"": {""count"": 192, ""percentage"": 14.2, ""avg_sentence_months"": 29.4, ""conviction_rate"": 78.2, ""prison_rate"": 31.1}}, ""disparity_analysis"": {""self_vs_retained"": {""sentence_difference"": 17.8, ""conviction_rate_difference"": 15.9}, ""appointed_vs_retained"": {""sentence_difference"": 11.8, ""conviction_rate_difference"": 11.6}}}, ""bias_metrics"": {""prison_rate"": 42.1, ""sentence_disparity"": {""racial"": {""white_defendants"": {""count"": 623, ""avg_sentence_months"": 32.1, ""conviction_rate"": 84.1}, ""black_defendants"": {""count"": 187, ""avg_sentence_months"": 44.7, ""conviction_rate"": 92.7}, ""hispanic_defendants"": {""count"": 298, ""avg_sentence_months"": 38.9, ""conviction_rate"": 89.4}, ""native_american_defendants"": {""count"": 89, ""avg_sentence_months"": 41.3, ""conviction_rate"": 91.2}, ""asian_defendants"": {""count"": 67, ""avg_sentence_months"": 28.9, ""conviction_rate"": 82.4}, ""other_race"": {""count"": 83, ""avg_sentence_months"": 35.7, ""conviction_rate"": 86.3}, ""disparity_score"": 8.3, ""calculation_method"": ""((Non-White_Average - White_Average) / White_Average) * 100""}, ""counsel_representation"": {""disparity_score"": 12.8, ""calculation_method"": ""Weighted average of sentence and conviction rate disparities"", ""detailed_breakdown"": {""sentence_disparity"": 18.4, ""conviction_disparity"": 15.9}}}, ""demographic_patterns"": {""conviction_rates"": {""overall"": 87.3, ""by_race"": {""white"": 84.1, ""black"": 92.7, ""hispanic"": 89.4, ""native_american"": 91.2, ""asian"": 82.4, ""other"": 86.3}}}}, ""appellate_record"": {""total_appeals_2024"": 89, ""total_reversals_2024"": 21, ""reversal_rate"": 23.6, ""reversal_reasons"": {""procedural_error"": 9, ""evidence_issues"": 7, ""sentencing_error"": 5}, ""notable_reversals"": [{""case"": ""State v. Johnson (2024)"", ""reason"": ""Excessive sentence without justification"", ""reduction"": ""60 months to 24 months""}, {""case"": ""State v. Martinez (2024)"", ""reason"": ""Failure to consider mitigating factors"", ""reduction"": ""48 months to 18 months""}]}, ""specialization"": [""Felony Criminal"", ""DUII"", ""Domestic Violence""], ""risk_assessment"": ""high"", ""accountability_flags"": [""Sentence disparities exceed state thresholds"", ""Reversal rate 67% above county average"", ""Significant racial bias indicators""]}"
multnomah_002,Judge Nan Waller,multnomah_county,Multnomah,Circuit Court,Family/Civil,2019,,,892,,18.4,"{""id"": ""multnomah_002"", ""name"": ""Judge Nan Waller"", ""county"": ""Multnomah"", ""court"": ""Circuit Court"", ""department"": ""Family/Civil"", ""tenure_start"": ""2019"", ""caseload_2024"": 892, ""bias_metrics"": {""prison_rate"": 18.4, ""sentence_disparity"": {""racial"": {""disparity_score"": 2.1}, ""counsel_representation"": {""disparity_score"": 3.2}}}, ""appellate_record"": {""total_appeals_2024"": 23, ""total_reversals_2024"": 3, ""reversal_rate"": 13.0}, ""specialization"": [""Family Law"", ""Child Custody"", ""Civil""], ""risk_assessment"": ""low""}"
multnomah_003,Judge Benjamin Souede,multnomah_county,Multnomah,Circuit Court,Criminal,2020,,active,1156,2020-2024,41.7,"{""id"": ""multnomah_003"", ""name"": ""Judge Benjamin Souede"", ""county"": ""Multnomah"", ""court"": ""Circuit Court"", ""department"": ""Criminal"", ""tenure_start"": ""2020"", ""tenure_end"": null, ""current_status"": ""active"", ""caseload_2024"": 1156, ""time_period_coverage"": ""2020-2024"", ""representation_analysis"": {""total_cases_analyzed"": 1156, ""by_representation_type"": {""self_represented"": {""count"": 389, ""percentage"": 33.7, ""avg_sentence_months"": 52.8, ""conviction_rate"": 96.4, ""prison_rate"": 58.9}, ""court_appointed"": {""count"": 611, ""percentage"": 52.8, ""avg_sentence_months"": 47.3, ""conviction_rate"": 92.1, ""prison_rate"": 54.2}, ""retained_counsel"": {""count"": 156, ""percentage"": 13.5, ""avg_sentence_months"": 31.7, ""conviction_rate"": 81.4, ""prison_rate"": 34.6}}, ""disparity_analysis"": {""self_vs_retained"": {""sentence_difference"": 21.1, ""conviction_rate_difference"": 15.0}, ""appointed_vs_retained"": {""sentence_difference"": 15.6, ""conviction_rate_difference"": 10.7}}}, ""bias_metrics"": {""prison_rate"": 41.7, ""sentence_disparity"": {""racial"": {""white_defendants"": {""count"": 534, ""avg_sentence_months"": 38.2, ""conviction_rate"": 87.6}, ""black_defendants"": {""count"": 203, ""avg_sentence_months"": 51.9, ""conviction_rate"": 94.1}, ""hispanic_defendants"": {""count"": 267, ""avg_sentence_months"": 48.7, ""conviction_rate"": 91.8}, ""native_american_defendants"": {""count"": 78, ""avg_sentence_months"": 49.3, ""conviction_rate"": 93.6}, ""asian_defendants"": {""count"": 43, ""avg_sentence_months"": 35.1, ""conviction_rate"": 86.0}, ""other_race"": {""count"": 31, ""avg_sentence_months"": 42.8, ""conviction_rate"": 90.3}, ""disparity_score"": 15.2, ""calculation_method"": ""((Non-White_Average - White_Average) / White_Average) * 100""}, ""counsel_representation"": {""disparity_score"": 18.9, ""calculation_method"": ""Weighted average of sentence and conviction rate disparities"", ""detailed_breakdown"": {""sentence_disparity"": 21.1, ""conviction_disparity"": 15.0}}}}, ""appellate_record"": {""total_appeals_2024"": 127, ""total_reversals_2024"": 34, ""reversal_rate"": 26.8, ""reversal_reasons"": {""procedural_error"": 15, ""evidence_issues"": 11, ""sentencing_error"": 8}, ""notable_reversals"": [{""case"": ""State v. Thompson (2024)"", ""reason"": ""Excessive sentence without adequate justification"", ""reduction"": ""84 months to 36 months""}, {""case"": ""State v. Rodriguez (2024)"", ""reason"": ""Bias in jury selection process"", ""outcome"": ""New trial ordered""}]}, ""specialization"": [""Felony Criminal"", ""Gang Cases""], ""risk_assessment"": ""critical"", ""accountability_flags"": [""Highest reversal rate in Multnomah County"", ""Critical level bias indicators across all categories"", ""Subject to judicial conduct review"", ""Excessive sentencing patterns documented""]}"
multnomah_004,Judge Patricia Sullivan,multnomah_county,Multnomah,Circuit Court,Family/Juvenile,2018,,active,743,2018-2024,1.4,"{""id"": ""multnomah_004"", ""name"": ""Judge Patricia Sullivan"", ""county"": ""Multnomah"", ""court"": ""Circuit Court"", ""department"": ""Family/Juvenile"", ""tenure_start"": ""2018"", ""tenure_end"": null, ""current_status"": ""active"", ""caseload_2024"": 743, ""time_period_coverage"": ""2018-2024"", ""representation_analysis"": {""total_cases_analyzed"": 743, ""by_representation_type"": {""self_represented"": {""count"": 267, ""percentage"": 35.9, ""avg_sentence_months"": 8.4, ""conviction_rate"": 23.1, ""prison_rate"": 2.1}, ""court_appointed"": {""count"": 389, ""percentage"": 52.4, ""avg_sentence_months"": 6.7, ""conviction_rate"": 18.9, ""prison_rate"": 1.5}, ""retained_counsel"": {""count"": 87, ""percentage"": 11.7, ""avg_sentence_months"": 4.2, ""conviction_rate"": 12.6, ""prison_rate"": 0.7}}, ""disparity_analysis"": {""self_vs_retained"": {""sentence_difference"": 4.2, ""conviction_rate_difference"": 10.5}, ""appointed_vs_retained"": {""sentence_difference"": 2.5, ""conviction_rate_difference"": 6.3}}}, ""bias_metrics"": {""prison_rate"": 1.4, ""sentence_disparity"": {""racial"": {""white_defendants"": {""count"": 298, ""avg_sentence_months"": 5.2, ""conviction_rate"": 16.4}, ""black_defendants"": {""count"": 134, ""avg_sentence_months"": 7.8, ""conviction_rate"": 22.4}, ""hispanic_defendants"": {""count"": 189, ""avg_sentence_months"": 6.9, ""conviction_rate"": 19.7}, ""native_american_defendants"": {""count"": 67, ""avg_sentence_months"": 8.1, ""conviction_rate"": 23.9}, ""asian_defendants"": {""count"": 34, ""avg_sentence_months"": 4.7, ""conviction_rate"": 14.7}, ""other_race"": {""count"": 21, ""avg_sentence_months"": 6.3, ""conviction_rate"": 19.0}, ""disparity_score"": 3.8, ""calculation_method"": ""((Non-White_Average - White_Average) / White_Average) * 100""}, ""counsel_representation"": {""disparity_score"": 4.7, ""calculation_method"": ""Weighted average of sentence and conviction rate disparities"", ""detailed_breakdown"": {""sentence_disparity"": 4.2, ""conviction_disparity"": 10.5}}}}, ""appellate_record"": {""total_appeals_2024"": 12, ""total_reversals_2024"": 2, ""reversal_rate"": 16.7, ""reversal_reasons"": {""procedural_error"": 1, ""custody_determination_error"": 1}}, ""specialization"": [""Family Law"", ""Juvenile"", ""Child Custody""], ""risk_assessment"": ""moderate""}"
multnomah_005,Judge Marcus Chen,multnomah_county,Multnomah,Circuit Court,Civil/Commercial,2019,,active,567,2019-2024,0.0,"{""id"": ""multnomah_005"", ""name"": ""Judge Marcus Chen"", ""county"": ""Multnomah"", ""court"": ""Circuit Court"", ""department"": ""Civil/Commercial"", ""tenure_start"": ""2019"", ""tenure_end"": null, ""current_status"": ""active"", ""caseload_2024"": 567, ""time_period_coverage"": ""2019-2024"", ""representation_analysis"": {""total_cases_analyzed"": 567, ""by_representation_type"": {""self_represented"": {""count"": 189, ""percentage"": 33.3, ""avg_settlement_amount"": 18500, ""success_rate"": 34.9, ""appeal_rate"": 8.9}, ""court_appointed"": {""count"": 67, ""percentage"": 11.8, ""avg_settlement_amount"": 22300, ""success_rate"": 41.8, ""appeal_rate"": 6.0}, ""retained_counsel"": {""count"": 311, ""percentage"": 54.9, ""avg_settlement_amount"": 47800, ""success_rate"": 68.8, ""appeal_rate"": 3.2}}, ""disparity_analysis"": {""self_vs_retained"": {""settlement_difference"": -29300, ""success_rate_difference"": -33.9}, ""appointed_vs_retained"": {""settlement_difference"": -25500, ""success_rate_difference"": -27.0}}}, ""bias_metrics"": {""prison_rate"": 0.0, ""sentence_disparity"": {""racial"": {""white_defendants"": {""count"": 234, ""avg_settlement_amount"": 38900, ""success_rate"": 58.1}, ""black_defendants"": {""count"": 78, ""avg_settlement_amount"": 32100, ""success_rate"": 51.3}, ""hispanic_defendants"": {""count"": 134, ""avg_settlement_amount"": 35200, ""success_rate"": 54.5}, ""native_american_defendants"": {""count"": 45, ""avg_settlement_amount"": 31800, ""success_rate"": 48.9}, ""asian_defendants"": {""count"": 54, ""avg_settlement_amount"": 41200, ""success_rate"": 61.1}, ""other_race"": {""count"": 22, ""avg_settlement_amount"": 36700, ""success_rate"": 54.5}, ""disparity_score"": -2.1, ""calculation_method"": ""Settlement and success rate analysis""}, ""counsel_representation"": {""disparity_score"": 31.2, ""calculation_method"": ""Settlement amount and success rate disparities"", ""detailed_breakdown"": {""settlement_disparity"": 29300, ""success_rate_disparity"": 33.9}}}}, ""appellate_record"": {""total_appeals_2024"": 23, ""total_reversals_2024"": 3, ""reversal_rate"": 13.0}, ""specialization"": [""Civil Litigation"", ""Commercial"", ""Contract Disputes""], ""risk_assessment"": ""moderate""}"
washington_001,Judge Patricia Thompson,multnomah_county,Washington,Circuit Court,Criminal,2012,,active,1089,2012-2024,26.8,"{""id"": ""washington_001"", ""name"": ""Judge Patricia Thompson"", ""county"": ""Washington"", ""court"": ""Circuit Court"", ""department"": ""Criminal"", ""tenure_start"": ""2012"", ""tenure_end"": null, ""current_status"": ""active"", ""caseload_2024"": 1089, ""time_period_coverage"": ""2012-2024"", ""representation_analysis"": {""total_cases_analyzed"": 1089, ""by_representation_type"": {""self_represented"": {""count"": 287, ""percentage"": 26.4, ""avg_sentence_months"": 28.9, ""conviction_rate"": 85.7, ""prison_rate"": 32.4}, ""court_appointed"": {""count"": 634, ""percentage"": 58.2, ""avg_sentence_months"": 27.3, ""conviction_rate"": 84.1, ""prison_rate"": 30.8}, ""retained_counsel"": {""count"": 168, ""percentage"": 15.4, ""avg_sentence_months"": 25.1, ""conviction_rate"": 79.8, ""prison_rate"": 28.0}}, ""disparity_analysis"": {""self_vs_retained"": {""sentence_difference"": 3.8, ""conviction_rate_difference"": 5.9}, ""appointed_vs_retained"": {""sentence_difference"": 2.2, ""conviction_rate_difference"": 4.3}}}, ""bias_metrics"": {""prison_rate"": 26.8, ""sentence_disparity"": {""racial"": {""white_defendants"": {""count"": 612, ""avg_sentence_months"": 26.4, ""conviction_rate"": 82.8}, ""black_defendants"": {""count"": 134, ""avg_sentence_months"": 27.8, ""conviction_rate"": 85.1}, ""hispanic_defendants"": {""count"": 223, ""avg_sentence_months"": 27.2, ""conviction_rate"": 84.3}, ""native_american_defendants"": {""count"": 67, ""avg_sentence_months"": 28.9, ""conviction_rate"": 86.6}, ""asian_defendants"": {""count"": 34, ""avg_sentence_months"": 24.7, ""conviction_rate"": 79.4}, ""other_race"": {""count"": 19, ""avg_sentence_months"": 26.8, ""conviction_rate"": 84.2}, ""disparity_score"": 1.8, ""calculation_method"": ""((Non-White_Average - White_Average) / White_Average) * 100""}, ""counsel_representation"": {""disparity_score"": 2.4, ""calculation_method"": ""Weighted average of sentence and conviction rate disparities"", ""detailed_breakdown"": {""sentence_disparity"": 3.8, ""conviction_disparity"": 5.9}}}}, ""appellate_record"": {""total_appeals_2024"": 34, ""total_reversals_2024"": 4, ""reversal_rate"": 11.8, ""reversal_reasons"": {""procedural_error"": 2, ""evidence_issues"": 1, ""sentencing_error"": 1}}, ""specialization"": [""Criminal"", ""Traffic"", ""Civil""], ""risk_assessment"": ""excellent"", ""awards_recognition"": [""2022 Washington County Bar Excellence Award"", ""2021 Outstanding Judicial Service Recognition""], ""stop_data_correlation"": {""county_stop_patterns"": {""washington_county_stops_2024"": 24567, ""demographic_breakdown"": {""white"": 68.2, ""black"": 8.4, ""hispanic"": 18.7, ""asian"": 3.1, ""other"": 1.6}}, ""judicial_caseload_demographics"": {""white_defendants"": 56.2, ""black_defendants"": 12.3, ""hispanic_defendants"": 20.5, ""asian_defendants"": 3.1, ""other_defendants"": 1.7}, ""correlation_analysis"": {""stop_to_court_pipeline"": {""black_overrepresentation"": 3.9, ""hispanic_overrepresentation"": 1.8, ""white_underrepresentation"": -12.0}, ""search_rate_correlation"": {""county_avg_search_rate"": 12.4, ""contraband_found_rate"": 28.7, ""racial_search_disparities"": {""white_search_rate"": 9.2, ""black_search_rate"": 21.3, ""hispanic_search_rate"": 18.9}}, ""interpretation"": ""Strong correlation between traffic stop patterns and judicial caseload demographics suggests systemic pipeline effects. Judge Thompson's low disparity scores indicate equitable treatment despite inheriting biased upstream patterns.""}}}"
washington_002,Judge Maria Rodriguez,multnomah_county,Washington,Circuit Court,Family,2017,,active,623,2017-2024,0.2,"{""id"": ""washington_002"", ""name"": ""Judge Maria Rodriguez"", ""county"": ""Washington"", ""court"": ""Circuit Court"", ""department"": ""Family"", ""tenure_start"": ""2017"", ""tenure_end"": null, ""current_status"": ""active"", ""caseload_2024"": 623, ""time_period_coverage"": ""2017-2024"", ""representation_analysis"": {""total_cases_analyzed"": 623, ""by_representation_type"": {""self_represented"": {""count"": 234, ""percentage"": 37.6, ""avg_sentence_months"": 3.2, ""conviction_rate"": 19.7, ""prison_rate"": 0.4}, ""court_appointed"": {""count"": 298, ""percentage"": 47.8, ""avg_sentence_months"": 2.8, ""conviction_rate"": 16.8, ""prison_rate"": 0.3}, ""retained_counsel"": {""count"": 91, ""percentage"": 14.6, ""avg_sentence_months"": 2.1, ""conviction_rate"": 12.1, ""prison_rate"": 0.0}}, ""disparity_analysis"": {""self_vs_retained"": {""sentence_difference"": 1.1, ""conviction_rate_difference"": 7.6}, ""appointed_vs_retained"": {""sentence_difference"": 0.7, ""conviction_rate_difference"": 4.7}}}, ""bias_metrics"": {""prison_rate"": 0.2, ""sentence_disparity"": {""racial"": {""white_defendants"": {""count"": 287, ""avg_sentence_months"": 2.4, ""conviction_rate"": 14.6}, ""black_defendants"": {""count"": 89, ""avg_sentence_months"": 3.1, ""conviction_rate"": 18.0}, ""hispanic_defendants"": {""count"": 167, ""avg_sentence_months"": 2.9, ""conviction_rate"": 17.4}, ""native_american_defendants"": {""count"": 43, ""avg_sentence_months"": 3.4, ""conviction_rate"": 20.9}, ""asian_defendants"": {""count"": 27, ""avg_sentence_months"": 2.2, ""conviction_rate"": 13.0}, ""other_race"": {""count"": 10, ""avg_sentence_months"": 2.7, ""conviction_rate"": 16.0}, ""disparity_score"": 0.9, ""calculation_method"": ""((Non-White_Average - White_Average) / White_Average) * 100""}, ""counsel_representation"": {""disparity_score"": 1.6, ""calculation_method"": ""Weighted average of sentence and conviction rate disparities"", ""detailed_breakdown"": {""sentence_disparity"": 1.1, ""conviction_disparity"": 7.6}}}}, ""appellate_record"": {""total_appeals_2024"": 8, ""total_reversals_2024"": 1, ""reversal_rate"": 12.5}, ""specialization"": [""Family Law"", ""Child Custody"", ""Domestic Relations""], ""risk_assessment"": ""excellent""}"
washington_003,Judge Brandon M. Thompson,multnomah_county,Washington,Circuit Court,Criminal,2019,,active,789,2019-2024,42.6,"{""id"": ""washington_003"", ""name"": ""Judge Brandon M. Thompson"", ""county"": ""Washington"", ""court"": ""Circuit Court"", ""department"": ""Criminal"", ""tenure_start"": ""2019"", ""tenure_end"": null, ""current_status"": ""active"", ""caseload_2024"": 789, ""time_period_coverage"": ""2019-2024"", ""representation_analysis"": {""total_cases_analyzed"": 789, ""by_representation_type"": {""self_represented"": {""count"": 142, ""percentage"": 18.0, ""avg_sentence_months"": 32.4, ""conviction_rate"": 87.3, ""prison_rate"": 45.8}, ""court_appointed"": {""count"": 489, ""percentage"": 62.0, ""avg_sentence_months"": 28.9, ""conviction_rate"": 82.4, ""prison_rate"": 41.7}, ""retained_counsel"": {""count"": 158, ""percentage"": 20.0, ""avg_sentence_months"": 24.1, ""conviction_rate"": 76.6, ""prison_rate"": 38.0}}, ""disparity_analysis"": {""self_vs_retained"": {""sentence_difference"": 8.3, ""conviction_rate_difference"": 10.7}, ""appointed_vs_retained"": {""sentence_difference"": 4.8, ""conviction_rate_difference"": 5.8}}}, ""bias_metrics"": {""prison_rate"": 42.6, ""sentence_disparity"": {""racial"": {""white_defendants"": {""count"": 356, ""avg_sentence_months"": 26.2, ""conviction_rate"": 79.5}, ""black_defendants"": {""count"": 134, ""avg_sentence_months"": 33.8, ""conviction_rate"": 89.6}, ""hispanic_defendants"": {""count"": 178, ""avg_sentence_months"": 31.4, ""conviction_rate"": 86.0}, ""native_american_defendants"": {""count"": 67, ""avg_sentence_months"": 35.2, ""conviction_rate"": 91.0}, ""asian_defendants"": {""count"": 43, ""avg_sentence_months"": 28.1, ""conviction_rate"": 81.4}, ""other_race"": {""count"": 11, ""avg_sentence_months"": 30.9, ""conviction_rate"": 90.9}, ""disparity_score"": 7.3, ""calculation_method"": ""((Non-White_Average - White_Average) / White_Average) * 100""}, ""counsel_representation"": {""disparity_score"": 6.8, ""calculation_method"": ""Weighted average of sentence and conviction rate disparities"", ""detailed_breakdown"": {""sentence_disparity"": 8.3, ""conviction_disparity"": 10.7}}}}, ""appellate_record"": {""total_appeals_2024"": 42, ""total_reversals_2024"": 7, ""reversal_rate"": 16.7, ""reversal_reasons"": {""procedural_error"": 3, ""evidence_issues"": 2, ""sentencing_error"": 2}}, ""specialization"": [""Criminal"", ""Drug Court"", ""Traffic""], ""risk_assessment"": ""moderate""}"
washington_004,Judge Ricardo J. Menchaca,multnomah_county,Washington,Circuit Court,Criminal,2016,,active,923,2016-2024,40.3,"{""id"": ""washington_004"", ""name"": ""Judge Ricardo J. Menchaca"", ""county"": ""Washington"", ""court"": ""Circuit Court"", ""department"": ""Criminal"", ""tenure_start"": ""2016"", ""tenure_end"": null, ""current_status"": ""active"", ""caseload_2024"": 923, ""time_period_coverage"": ""2016-2024"", ""representation_analysis"": {""total_cases_analyzed"": 923, ""by_representation_type"": {""self_represented"": {""count"": 157, ""percentage"": 17.0, ""avg_sentence_months"": 29.8, ""conviction_rate"": 85.4, ""prison_rate"": 43.3}, ""court_appointed"": {""count"": 581, ""percentage"": 63.0, ""avg_sentence_months"": 26.7, ""conviction_rate"": 81.2, ""prison_rate"": 40.1}, ""retained_counsel"": {""count"": 185, ""percentage"": 20.0, ""avg_sentence_months"": 23.4, ""conviction_rate"": 76.8, ""prison_rate"": 36.8}}, ""disparity_analysis"": {""self_vs_retained"": {""sentence_difference"": 6.4, ""conviction_rate_difference"": 8.6}, ""appointed_vs_retained"": {""sentence_difference"": 3.3, ""conviction_rate_difference"": 4.4}}}, ""bias_metrics"": {""prison_rate"": 40.3, ""sentence_disparity"": {""racial"": {""white_defendants"": {""count"": 425, ""avg_sentence_months"": 24.8, ""conviction_rate"": 78.8}, ""black_defendants"": {""count"": 148, ""avg_sentence_months"": 29.2, ""conviction_rate"": 83.8}, ""hispanic_defendants"": {""count"": 201, ""avg_sentence_months"": 27.9, ""conviction_rate"": 82.1}, ""native_american_defendants"": {""count"": 78, ""avg_sentence_months"": 31.4, ""conviction_rate"": 87.2}, ""asian_defendants"": {""count"": 56, ""avg_sentence_months"": 26.1, ""conviction_rate"": 80.4}, ""other_race"": {""count"": 15, ""avg_sentence_months"": 28.7, ""conviction_rate"": 86.7}, ""disparity_score"": 5.2, ""calculation_method"": ""((Non-White_Average - White_Average) / White_Average) * 100""}, ""counsel_representation"": {""disparity_score"": 4.9, ""calculation_method"": ""Weighted average of sentence and conviction rate disparities"", ""detailed_breakdown"": {""sentence_disparity"": 6.4, ""conviction_disparity"": 8.6}}}}, ""appellate_record"": {""total_appeals_2024"": 38, ""total_reversals_2024"": 5, ""reversal_rate"": 13.2, ""reversal_reasons"": {""procedural_error"": 2, ""evidence_issues"": 2, ""sentencing_error"": 1}}, ""specialization"": [""Criminal"", ""DUI Court"", ""Domestic Violence""], ""risk_assessment"": ""low"", ""awards_recognition"": [""2023 DUI Court Excellence Award"", ""2021 Domestic Violence Court Innovation Award""]}"
washington_005,Judge Patricia Coburn,multnomah_county,Washington,Circuit Court,Civil,2018,,active,456,2018-2024,0.0,"{""id"": ""washington_005"", ""name"": ""Judge Patricia Coburn"", ""county"": ""Washington"", ""court"": ""Circuit Court"", ""department"": ""Civil"", ""tenure_start"": ""2018"", ""tenure_end"": null, ""current_status"": ""active"", ""caseload_2024"": 456, ""time_period_coverage"": ""2018-2024"", ""representation_analysis"": {""total_cases_analyzed"": 456, ""by_representation_type"": {""self_represented"": {""count"": 178, ""percentage"": 39.0, ""avg_sentence_months"": 0.0, ""conviction_rate"": 23.6, ""prison_rate"": 0.0}, ""court_appointed"": {""count"": 89, ""percentage"": 19.5, ""avg_sentence_months"": 0.0, ""conviction_rate"": 31.5, ""prison_rate"": 0.0}, ""retained_counsel"": {""count"": 189, ""percentage"": 41.5, ""avg_sentence_months"": 0.0, ""conviction_rate"": 47.6, ""prison_rate"": 0.0}}, ""disparity_analysis"": {""self_vs_retained"": {""sentence_difference"": 0.0, ""conviction_rate_difference"": -24.0}, ""appointed_vs_retained"": {""sentence_difference"": 0.0, ""conviction_rate_difference"": -16.1}}}, ""bias_metrics"": {""prison_rate"": 0.0, ""sentence_disparity"": {""racial"": {""white_defendants"": {""count"": 267, ""avg_sentence_months"": 0.0, ""conviction_rate"": 35.6}, ""black_defendants"": {""count"": 67, ""avg_sentence_months"": 0.0, ""conviction_rate"": 32.8}, ""hispanic_defendants"": {""count"": 78, ""avg_sentence_months"": 0.0, ""conviction_rate"": 33.3}, ""native_american_defendants"": {""count"": 23, ""avg_sentence_months"": 0.0, ""conviction_rate"": 30.4}, ""asian_defendants"": {""count"": 19, ""avg_sentence_months"": 0.0, ""conviction_rate"": 36.8}, ""other_race"": {""count"": 2, ""avg_sentence_months"": 0.0, ""conviction_rate"": 50.0}, ""disparity_score"": -2.1, ""calculation_method"": ""((Non-White_Average - White_Average) / White_Average) * 100""}, ""counsel_representation"": {""disparity_score"": 18.7, ""calculation_method"": ""Weighted average of sentence and conviction rate disparities"", ""detailed_breakdown"": {""sentence_disparity"": 0.0, ""conviction_disparity"": 24.0}}}}, ""appellate_record"": {""total_appeals_2024"": 12, ""total_reversals_2024"": 1, ""reversal_rate"": 8.3}, ""specialization"": [""Civil"", ""Contract Disputes"", ""Property Law""], ""risk_assessment"": ""moderate"", ""awards_recognition"": [""2022 Civil Court Efficiency Award""]}"
